,Model,Train Accuracy (%),Test Accuracy (%),Variance
0,Base - Min.,43.93,51.59,-7.660000000000004
1,Description - Min.,38.26,51.04,-12.780000000000001
2,Base - Max.,57.18,39.0,18.18
3,Description - Max.,52.26,37.92,14.339999999999996
4,Base - Mean,49.45,54.93,-5.479999999999997
5,Description  - Mean,48.87,60.37,-11.5
6,Optimized - Mean,52.71,56.75,-4.039999999999999
